,prompts
132,"Create a serene image with no text or watermark. The picture should depict a scene inspired by ancient Chinese style. In the foreground, there are vibrant flowers of various colors blooming abundantly. Amongst them, a willow tree stands tall, casting a gentle shade. The flowers and the willow tree are positioned in such a way that they create a beautiful contrast of colors. The background should be a tranquil landscape with rolling hills, a meandering river, and a traditional Chinese pavilion. The color palette should consist of soft pastel tones, with hints of pink, purple, and green. The overall atmosphere should evoke a sense of tranquility and the arrival of spring."
133,"Create a serene image with an ancient Chinese style. The picture should depict a landscape with nine gates, each gate adorned with a cold, silver hue. In the foreground, there are numerous wells, their roofs painted in the colors of the dawn sky. The background should showcase a tranquil scene, with misty mountains and a flowing river. Ensure that there are no texts or watermarks in the generated image."
134,"Generate an image with no text or watermark. The picture should depict a serene scene inspired by ancient Chinese style. In the foreground, there is a majestic mountain, its peaks covered in lush greenery. The mountain is positioned towards the left side of the image. In the middle ground, there is a tranquil river flowing gently, reflecting the colors of autumn. The river occupies the central part of the image. The background should be a picturesque landscape, with rolling hills, distant mountains, and a clear blue sky. The overall color scheme should be soft and muted, with earthy tones dominating the scene."
135,"Create an image with a serene background of ancient Chinese style. The foreground should depict a flock of migrating geese flying southward. The geese should be portrayed in a vibrant shade of white, gracefully gliding through the air. Position them in a V-shaped formation, symbolizing unity and harmony. The background should be a picturesque landscape, featuring rolling hills, a meandering river, and a quaint bridge. The color palette should consist of soft, earthy tones, such as muted greens, browns, and blues, evoking a sense of tranquility. Ensure that there are no texts or watermarks in the generated image."
136,"Create a serene image with a Chinese aesthetic. The picture should depict a tranquil scene with a window on the left side. Outside the window, there is a bamboo grove swaying in the wind, painted in shades of green. On the right side, there is an open door revealing a snowy mountain landscape, painted in shades of white and gray. The background should be a soft, pastel-colored sky, with hints of pink and orange, indicating the setting sun. Ensure that there are no texts or watermarks in the generated image."
137,"Generate an image with a serene scene of an ancient Chinese garden. The picture should depict a tranquil spring pond surrounded by lush greenery. In the center of the pond, there should be a cluster of one hundred colorful lotus flowers in full bloom, radiating vibrant hues of pink, white, and purple. The flowers should be positioned in a way that creates a visually pleasing composition. The surrounding trees should be tall and majestic, with branches adorned in delicate blossoms of various colors, such as cherry blossoms, plum blossoms, and peach blossoms. The background should be a picturesque landscape featuring rolling hills, distant mountains, and a clear blue sky. The overall color palette should be soft and harmonious, with pastel shades dominating the scene. Ensure that there are no visible texts or watermarks in the generated image."
138,"Create a serene image with an ancient Chinese style. The picture should depict a tall tower with a moon shining brightly above it, resembling frost. The tower should be colored in a deep shade of gold, standing prominently in the center of the image. The moon should be a radiant white, positioned high in the sky. The background should be a tranquil scene, with a river flowing gently and lush mountains in the distance. The colors of the background should be soft shades of blue and green, creating a peaceful atmosphere. Ensure that there are no texts or watermarks in the generated image."
139,"Create a serene image with a Chinese poem. Picture a tranquil scene with a frozen river, where a small fishing boat glides peacefully. The boat is painted in a soft shade of blue, gently contrasting with the icy white surroundings. In the distance, a hunter's fire burns on the cold plain, casting a warm glow against the wintry backdrop. The background should be a picturesque landscape, featuring snow-covered mountains and ancient Chinese-style buildings. Ensure that there are no texts or watermarks in this generated image."
140,"Generate an image with a serene and ancient Chinese landscape. The picture should depict a tranquil scene with a river flowing through a valley. In the foreground, there should be a peach tree with pink blossoms on the left side of the image. On the right side, there should be a tall and majestic pine tree. The peach tree represents the allure of a utopian land, while the pine tree symbolizes the ancient officials of the Qin dynasty. The background should be painted in soft hues of green and blue, representing the lush mountains and clear sky. Ensure that there are no texts or watermarks in the generated image."
141,"Generate an image with no text or watermark. The picture should depict a serene scene in ancient China. In the foreground, there should be a traditional Chinese gate, painted in vibrant red, standing slightly ajar. On either side of the gate, there are narrow, winding alleys, lined with old, weathered buildings. The buildings are made of dark, aged wood, with intricate carvings and sloping roofs adorned with green tiles. The alleys are empty, with only a few scattered leaves on the ground. In the background, there is a picturesque landscape of rolling hills, painted in soft shades of green and blue. The sky is clear, with wisps of white clouds drifting lazily. The overall atmosphere should evoke a sense of tranquility and nostalgia."
142,"Generate an image with a serene and ancient Chinese setting. The picture should depict a beautiful scene with a gentle breeze blowing through a forest of tall, green pine trees. In the foreground, there should be a traditional Chinese musical instrument, the guqin, placed on a wooden table. The guqin should be made of dark brown wood with intricate carvings. The moon should be shining brightly in the night sky, casting a soft, silver light on the surroundings. The background should be a tranquil landscape with misty mountains and a calm river flowing through the valley. The colors should be predominantly shades of green, brown, and silver, creating a peaceful and nostalgic atmosphere. Ensure that there are no text or watermarks in the generated image."
143,"Generate an image with a serene and ancient Chinese setting. The picture should depict a beautiful landscape with a clear blue sky and lush green trees. In the foreground, place a person sitting on a stone bench, dressed in traditional Chinese clothing. The person should be looking into the distance with a contemplative expression. Surrounding the bench, add colorful flowers in shades of pink, red, and purple. In the background, include a traditional Chinese pavilion with a curved roof, adorned with intricate carvings. The pavilion should be situated near a tranquil lake, reflecting the vibrant colors of the surroundings. Ensure that there are no text or watermarks in the generated image."
144,"Generate an image with no text or watermark. The image should depict a serene scene in ancient China. In the foreground, there should be a graceful willow tree with vibrant green leaves, gently swaying in the spring breeze. Its branches should hang low, almost touching the surface of a tranquil pond. The water in the pond should be clear and reflective, mirroring the beauty of the surroundings. On the left side of the image, there should be a small wooden bridge, painted in a soft shade of vermilion, leading to a traditional Chinese pavilion. The pavilion should be adorned with intricate carvings and have a curved, tiled roof in a deep shade of indigo. In the background, there should be rolling hills covered in lush, emerald green vegetation. The sky should be a clear, pale blue, with wisps of white clouds scattered across it. The overall atmosphere of the image should evoke a sense of tranquility and natural beauty."
145,"Create a serene image with a Chinese poem. Generate an image with a clear blue sky and a tranquil river flowing through a picturesque landscape. In the foreground, place a majestic willow tree with lush green leaves, gently swaying in the breeze. On the riverbank, position a small pavilion with a curved roof, adorned with intricate carvings, and painted in traditional Chinese colors of vermilion and gold. Surrounding the pavilion, scatter blooming cherry blossom trees, their delicate pink petals creating a vibrant contrast against the willow tree's verdant foliage. In the distance, depict misty mountains, their peaks fading into the horizon. The background should be a serene scene with rolling hills, dotted with ancient temples and pagodas, showcasing the rich cultural heritage of ancient China. Ensure that the generated image does not contain any text or watermarks."
146,"Create a serene image with an ancient Chinese style. The picture should depict a scene from a Chinese poem. In the foreground, there is a red sailboat reflecting on the river, surrounded by vibrant maple trees. The boat is positioned in front of a small village with red-roofed houses. The background should showcase a picturesque landscape with rolling hills, a meandering river, and distant mountains. The color palette should consist of warm tones, with reds, oranges, and yellows dominating the scene. Ensure that there are no texts or watermarks in the generated image."
147,"Create a serene image with an ancient Chinese style. The picture should depict a landscape with vibrant colors. In the foreground, position a river flowing gracefully, reflecting the azure sky. On the riverbank, place a weeping willow tree, its emerald leaves gently swaying in the breeze. Nearby, scatter delicate cherry blossoms, their petals painted in shades of pink and white. In the distance, erect a majestic pagoda, adorned with intricate golden details, standing tall against the backdrop of rolling hills. The hills should be covered in lush greenery, with hints of vermilion and crimson from blooming flowers. The sky should be a clear cerulean, with a few fluffy white clouds drifting lazily. Ensure that there are no texts or watermarks in this serene, ancient Chinese-inspired scene."
148,"Create a serene image with a Chinese aesthetic. The picture should depict a tranquil scene with a sandy beach stretching into the distance. The beach is adorned with soft, white clouds that seem to merge seamlessly with the sand. In the foreground, there is a cluster of golden-colored reeds gently swaying in the breeze. The background should showcase a picturesque landscape with rolling hills, lush greenery, and a calm river flowing through it. The overall color palette should consist of earthy tones, with hints of blue and green. Ensure that there are no text or watermarks in the generated image."
149,"Create an image with a serene background in ancient Chinese style. The foreground should depict a solitary tree with golden leaves, positioned on the left side of the image. On the right side, place a small wooden bench, painted in a deep red color. The bench should face the tree, symbolizing solitude and contemplation. The background should be a tranquil scene with misty mountains, flowing rivers, and a traditional Chinese pavilion in the distance. The colors should be muted, with shades of blue, green, and gray, evoking a sense of calmness and nostalgia. Ensure that there are no texts or watermarks in the generated image."
150,"Create a stunning image with an ancient Chinese aesthetic. The picture should depict a serene landscape with a clear blue sky and fluffy white clouds. In the foreground, position a woman dressed in vibrant red robes, bidding farewell to her husband. The woman's face should be filled with a mix of longing and sadness. Beside her, a majestic white crane stands, symbolizing grace and freedom. The background should showcase traditional Chinese architecture, with pagodas and temples nestled among lush green mountains. Ensure that there are no watermarks or text in the image."
151,"Create a serene image with an ancient Chinese style. The picture should depict a beautiful autumn day. In the foreground, there is a person wearing a flowing robe, standing gracefully. The robe is a vibrant red color, symbolizing passion and vitality. The person is holding a wooden bowl, which is being washed in a small stream. The bowl is a deep brown color, representing simplicity and humility. Surrounding the person is a grove of ancient pine trees, their branches reaching towards the sky. The trees are dark green, signifying strength and resilience. In the background, there is a tranquil landscape with rolling hills and a meandering river. The hills are covered in lush green vegetation, and the river reflects the clear blue sky. The scene is bathed in warm golden sunlight, creating a peaceful and harmonious atmosphere. The image should be free of any text or watermark, allowing the viewer to fully immerse themselves in the beauty of the ancient Chinese setting."
152,"Generate an image with no text or watermark. The picture should depict a serene scene inspired by ancient Chinese style. In the foreground, there should be lush green grass bathed in warm sunlight. A few scattered peach trees with delicate pink blossoms should be visible. The trees should be positioned to create a sense of emptiness, symbolizing the absence of people in the idyllic Peach Blossom Spring. The background should feature misty mountains, painted in shades of blue and gray, evoking a sense of tranquility. The scene should be reminiscent of a secluded paradise, where nature thrives undisturbed."
153,"Generate an image with the following objects: a flowing river (Han River) in the foreground, surrounded by lush green trees. In the middle ground, there is a group of people (a family) with various expressions of worry on their faces. The family consists of four generations, with the elderly sitting on a stone bench, the middle-aged standing behind them, and the young children playing nearby. The color palette should be warm and earthy, with hints of red, yellow, and green. The scene should depict an ancient Chinese village, with traditional buildings and tiled roofs in the background. Ensure that there is no text or watermark in the generated image."
154,"Create a serene image with an ancient Chinese aesthetic. The picture should depict a tranquil scene with a royal pavilion in the southeast. The pavilion should be adorned with vibrant red pillars and a green tiled roof. Positioned on a hill, it overlooks a picturesque landscape of rolling mountains and a meandering river. The background should be painted in soft hues of blue and purple, representing a calm sky at dusk. Ensure that there are no texts or watermarks in the generated image."
155,"Create a serene image with an ancient Chinese style. The picture should depict a tranquil river, with a gentle breeze blowing through the willow trees on its banks. In the foreground, place a small wooden boat, painted in a traditional red color, floating peacefully on the water. The boat should be positioned slightly off-center, with a lone figure standing at the bow, gazing into the distance. The figure should be dressed in traditional Chinese attire, with a conical hat and flowing robes. The background should be a picturesque landscape, with rolling hills covered in lush greenery and a clear blue sky above. Ensure that there are no texts or watermarks in the image."
156,"Create a serene image with an ancient Chinese style. The picture should depict a tranquil landscape with a clear river flowing through a mountainous region. The river should be painted in a gentle shade of blue, winding its way through the picture from the foreground to the background. The mountains should be depicted in various shades of green, with lush trees and delicate clouds hovering above them. The scene should evoke a sense of peace and tranquility, capturing the essence of the poem. Ensure that there are no texts or watermarks in the generated image."
157,"Generate an image with no text or watermark. The picture should depict a serene scene in ancient China. In the foreground, there is a vibrant yellow cloud, symbolizing the end of spring. On the side, a musician plays a traditional Chinese horn, expressing a sense of melancholy. The background should be a picturesque landscape with rolling hills and a tranquil river, painted in soft, pastel colors. Ensure that the image captures the essence of ancient Chinese art and culture."
158,"Create a serene image with an ancient Chinese style. The picture should depict a tranquil scene with a clear blue sky and lush green mountains in the background. In the foreground, place a graceful flock of geese flying in a V-formation. The geese should be depicted in a soft white color, symbolizing purity and freedom. Ensure that there are no texts or watermarks in the generated image."
159,"Create an image with a serene background of ancient Chinese style. The foreground should depict a vibrant scene with objects in various colors. In the center, position a majestic, golden dragon soaring through the sky. To the left, place a group of soldiers dressed in crimson armor, marching confidently. On the right, position a fleet of warships with sails of emerald green, sailing on a tranquil river. The background should be a picturesque landscape with rolling hills, lush greenery, and a clear blue sky. Ensure that there are no texts or watermarks in the image."
160,"Create a serene image with a Chinese aesthetic. The picture should depict a tranquil scene with a riverbank in the foreground. In the center, there should be a solitary figure dressed in ancient Chinese attire, walking along the riverbank. The figure should be surrounded by lush green reeds and the river should be calm and reflective. The color palette should consist of soft, muted tones, with hints of pale blue and green. The background should showcase a misty mountain range, symbolizing the distant thoughts of the poet. Ensure that there are no texts or watermarks in the generated image."
161,"Create an image with a serene background of ancient Chinese style. In the foreground, position a young man wearing traditional attire, carrying a sack of rice on his shoulder. The sack should be colored in earthy tones, while the man's clothing should be vibrant and rich in color. Surround the man with lush greenery and blooming flowers, evoking a sense of nature and tranquility. Ensure that there are no texts or watermarks in the image."
162,"Create a serene image with ancient Chinese style. The picture should depict a landscape with towering green trees filling the valleys, while the echoes of a thousand mountains resonate with the melodious songs of the cuckoo. The trees should be lush and vibrant, painted in various shades of green, with their branches reaching towards the heavens. The mountains should be majestic, with peaks disappearing into the misty distance. The background should be a tranquil scene, with a clear blue sky and wisps of white clouds. The overall color palette should be soft and muted, evoking a sense of tranquility and harmony. Ensure that there are no text or watermarks in the generated image."
163,"Generate an image with no text or watermark. The picture should depict a serene scene inspired by ancient Chinese style. In the foreground, there should be a beautiful lotus pond with pink lotus flowers blooming. The pond is surrounded by lush green willow trees, their branches gently swaying in the breeze. In the middle ground, there is a traditional Chinese pavilion with a curved roof, adorned with intricate carvings and red pillars. The pavilion overlooks the pond, providing a peaceful retreat. In the background, there are misty mountains covered in shades of blue and purple, creating a sense of depth and tranquility. The sky is painted in soft hues of pink and orange, indicating the setting sun. The overall color palette should be warm and harmonious, evoking a sense of calmness and beauty."
164,"Create a serene painting with a Chinese aesthetic. The main focus of the picture should be a person standing by a door, gazing into the distance. The person is wearing a flowing robe in a soft, earthy color like old moss green. The door is made of dark, weathered wood with intricate carvings. Surrounding the door, there are lush green trees and vibrant flowers, creating a peaceful atmosphere. The background should be a misty mountain range, with peaks disappearing into the clouds. The mountains should be painted in shades of blue and gray, giving a sense of depth and mystery. The overall color palette of the painting should be muted and natural, with hints of warm earth tones. The style of the painting should reflect ancient Chinese art, with delicate brushstrokes and attention to detail. Ensure that there are no text or watermarks in the generated image."
165,"Generate an image with a serene river scene in ancient Chinese style. The picture should depict a small wooden boat, painted in vibrant red, floating on the calm waters. The boat is positioned slightly off-center, towards the left side of the image. The river is surrounded by lush green mountains, with misty clouds hovering above. The background should have a soft color palette, with shades of pale blue and hints of pink, creating a tranquil atmosphere. Ensure that there are no texts or watermarks in the generated image."
166,"Create a serene image with a Chinese poem. Picture a landscape painting with a vibrant red bird soaring gracefully across the sky, its feathers shimmering in the sunlight. In the foreground, a lush green tree stands tall, its branches swaying gently in the breeze. On a branch, a group of playful monkeys can be seen, their brown fur contrasting against the vibrant colors of the surroundings. The background should depict a tranquil scene of misty mountains, with cascading waterfalls and ancient Chinese-style buildings nestled among the hills. The color palette should consist of soft pastel hues, with hints of gold and jade. Ensure that there are no text or watermarks in this generated image."
167,"Generate an image with a serene background depicting an ancient Chinese landscape. The foreground should feature a vibrant red temple with golden rooftops positioned on the left side of the image. On the right side, there should be a tranquil lake with ripples reflecting the moonlight. In the middle ground, a group of musicians playing traditional Chinese instruments, such as flutes and drums, should be visible. The musicians should be dressed in colorful traditional attire. The overall color scheme of the image should be warm and earthy, with hints of red, gold, and green. Ensure that there are no watermarks or text present in the generated image."
168,"Create a serene image with an ancient Chinese style. The picture should depict a landscape with a flowing river in the foreground. On the riverbank, there is a weeping willow tree with long, graceful branches swaying in the wind. The tree is adorned with delicate pink blossoms. In the distance, there are mist-covered mountains, their peaks tinged with a soft purple hue. The sky is a tranquil shade of pale blue, with wispy white clouds scattered across it. The overall scene should evoke a sense of tranquility and harmony. Ensure that there are no text or watermarks in the generated image."
169,"Create an image with a serene landscape in ancient Chinese style. In the foreground, place a weeping figure wearing a blue robe, standing on a stone bridge over a tranquil river. The figure's face should express sadness and longing. Surrounding the figure, add blooming cherry blossom trees with delicate pink petals. In the background, depict misty mountains with green peaks and a traditional Chinese pavilion nestled among the hills. The sky should be a soft shade of pale blue, with wisps of white clouds. Ensure that there are no text or watermarks in the image."
170,"Create a serene image with an ancient Chinese style. The picture should depict a snowy mountain in the background, with a winding road leading towards it. In the foreground, there should be a traditional Chinese house nestled among autumn trees by the sea. The house should be painted in a warm, earthy color, while the trees should be adorned with vibrant shades of red, orange, and yellow. The snowy mountain should be majestic and towering, covered in pure white snow. The background should have a soft, pastel-colored sky, reflecting the tranquility of the scene. Ensure that there are no texts or watermarks in the generated image."
171,"Create an image with a serene background of ancient Chinese style. The foreground should depict a table with a bottle of wine, a cup, and an open book. The wine bottle should be green, positioned on the left side of the table. The cup, filled with wine, should be placed next to the bottle. The open book, with yellowed pages, should be positioned on the right side of the table. The background should be a picturesque landscape with rolling hills, a flowing river, and a traditional Chinese pavilion. The color scheme should consist of soft, muted tones, with hints of green, blue, and earthy colors. Ensure that there are no texts or watermarks in the generated image."
172,"Generate an image with a serene and ancient Chinese setting. The picture should depict a flowing river, colored in a gentle shade of blue, positioned in the foreground. In the middle ground, there should be a well, colored in a rustic shade of brown. The well should be surrounded by a quaint village, with traditional Chinese-style buildings painted in earthy tones. The background should showcase a vast sea of clouds, painted in soft hues of white and gray, creating a dreamlike atmosphere. Ensure that the generated image does not contain any text or watermarks."
173,"Create an image with a serene atmosphere. In the foreground, depict a sparse guesthouse with willow branches, colored in a gentle shade of green, hanging loosely. Underneath the guesthouse, place fallen leaves from the locust tree, colored in a vibrant autumn hue. The background should showcase an ancient Chinese city in autumn, with buildings and structures in traditional architectural style. The scene should be painted in warm, earthy tones, with hints of red, yellow, and orange. Ensure that there are no texts or watermarks in the generated image."
174,"Generate an image with no text or watermark. The picture should depict a serene scene inspired by ancient Chinese style. In the foreground, there should be a person sitting at the edge of a traditional Chinese courtyard, dressed in traditional clothing. The person should be looking out into the distance, where rolling hills covered in lush greenery and misty clouds can be seen. The courtyard should be adorned with vibrant red lanterns hanging from the eaves of the traditional Chinese architecture. The color palette of the image should consist of soft, muted tones, with hints of red and gold to evoke a sense of tranquility and elegance."
175,"Create a serene image with an ancient Chinese style. The picture should depict a tranquil garden with a small pond in the center. In the pond, there are vibrant pink lotus flowers blooming. Surrounding the pond, there are weeping willow trees with their long, graceful branches hanging down. The leaves of the trees are a lush shade of green. In the background, there is a traditional Chinese pavilion with a curved roof, adorned with intricate carvings and red tiles. The pavilion is situated on a hill, overlooking the garden. The sky is a soft shade of blue, with wispy white clouds scattered across it. The overall scene should evoke a sense of peace and tranquility. Ensure that there are no texts or watermarks in the generated image."
176,"Generate an image with a serene and ancient Chinese setting. In the foreground, depict a beautiful courtyard with a traditional Chinese pavilion. Inside the pavilion, place a graceful female musician dressed in vibrant red robes, playing a melodious tune on a flute. Surrounding her, arrange golden wine cups on a table, symbolizing a lively tavern. The cups should be filled with a rich amber-colored liquor. In the background, create a picturesque landscape with rolling hills, adorned with cherry blossom trees in full bloom. The scene should be painted in soft pastel colors, evoking a sense of tranquility. Ensure that there are no watermarks or text in the generated image."
177,"Create an image with a serene and ancient Chinese setting. The foreground should depict a winding path through rocky terrain, with moss-covered stones and vibrant greenery. Place a small, elegant pavilion amidst the clouds and trees, its color a subtle shade of vermilion. The pavilion should be positioned slightly off-center, inviting the viewer to explore the path further. In the background, paint a picturesque landscape with misty mountains and a tranquil river, reflecting the soft hues of the sky. Ensure that there are no texts or watermarks in the image."
